Company,Website,Category,City,Country
80LIMIT,http://80limit.com,agency,Mons,Belgium
Amazon Financial Services,,product,Luxembourg,Luxembourg
AirShaper,http://airshaper.com,product,Antwerpen,Brussels
Apprentus,https://www.apprentus.be/,,Brussels,Belgium
AppTweak,https://www.apptweak.com/,,Brussels,Belgium
BeLighted,http://belighted.com,agency,Louvain-la-Neuve,Belgium
BearingCLOUD,http://www.bearingcloud.com,SaaS,Antwerpen,Belgium
BigUp,http://bigup.be,agency,Wavre,Belgium
BlueSquare,http://www.bluesquare.org,,Brussels,Belgium
Chem-Lab,http://chem-lab.be,,Zedelgem,Belgium
Clubit,http://www.clubit.be,agency,Niel,Belgium
Conseil Supérieur de l'Audiovisuel (CSA),http://www.csa.be/,,Brussels,Belgium
Dandy Coding,http://dandycoding.com/,agency,Mons,Belgium
DataCamp,https://www.datacamp.com/,,Leuven,Belgium
Digiti, http://www.digiti.be/,agency,Herentals, Belgium
Diploid,http://www.diploid.com/,,Leuven,Belgium
DNAlytics,http://dnalytics.com/,product,Louvain-la-Neuve,Belgium
Drawbotics,https://www.drawbotics.com/,product,Brussels,Belgium
Epic,http://epic.net/,agency,Liège,Belgium
Famest,http://www.famest.co/fr,,Louvain-la-Neuve,Belgium
Hstry,http://hstry.co/,product,Brussels,Belgium
Intuo,http://intuo.io,product,Ghent,Belgium
JDi Agency,https://jdi-agency.com/,agency,Brussels,Belgium
ListMinut,https://listminut.be/workforus,product,Brussels,Belgium
LichtVis,http://lichtvis.be,agency,Brugge,Belgium
Le Wagon,http://www.lewagon.org/brussels,training,Brussels,Belgium
Spreds,https://www.spreds.com/,product,Brussels,Belgium
NephroFlow,https://nephroflow.com,product,Bruges,Belgium
Neveo,http://www.neveo.be/,,Louvain-la-Neuve,Belgium
Nimbly,http://nimbly.be,,Leuven,Belgium
Ontoforce,http://www.ontoforce.com,,Ghent,Belgium
Phonoid,http://phonoid.com,agency,Mons,Belgium
PlayPass,http://www.playpass.be,product,Antwerp,Belgium
Pootsy,https://pootsy.be/,product,Brussels,Belgium
Prospect.io,https://prospect.io/,product,Brussels,Belgium
HipByte,http://www.hipbyte.com/,agency,Liège,Belgium
Selinko,http://selinko.com/,,Mont-Saint-Guibert,Belgium
Sharebox/1001Belges,http://sharebox.be,,Brussels,Belgium
Sign2Pay,https://sign2pay.com/,product,Amsterdam,The Netherlands
Silverfin,http://getsilverfin.com,product,Ghent,Belgium
Solvace,https://www.solvace.com,product,Ghent,Belgium
SortList,https://www.sortlist.com/fr/,product,Mont-Saint-Guibert,Belgium
Spin42,http://spin42.com/,agency,Mont-Saint-Guibert,Belgium
Streed,http://www.streed.io/,agency,Wavre,Belgium
SumoCoders,http://sumocoders.be/,agency,Ghent,Belgium
Syntra,http://www.syntravlaanderen.be,training,Brussels,Belgium
Thambo,http://www.thambo.com,,Brussels,Belgium
Translation.io,https://translation.io,product,Mons,Belgium
TrustedFamily,http://www.trustedfamily.net/,product,Brussels,Belgium
Typework,https://typework.com,agency,Bruges,Belgium
UnifiedPost,https://www.unifiedpost.com/,product,La Hulpe,Belgium
Valipat,https://www.valipat.com,product,Brussels,Belgium
Vasco Data Security,http://www.vasco.com/,product,Mechelen,Belgium
Venture Spirit,http://www.venturespirit.com/,,Zele,Belgium
Xaop,http://xaop.be,,Halle,Belgium
Yellow.lu,http://www.yellow.lu/fr,,Luxembourg,Luxembourg
Zorros,http://zorros.be,agency,Zottegem,Belgium
Lichtvis,http://lichtvis.be,product,Bruges,Belgium
by2.be,http://by2.be,agency,Bruges,Belgium
